Serial_number,Muhavara,Meaning,Example
0,अक्ल पर पत्थर पड़ना,बुद्धि भष्ट होना,- विद्वान और वीर होकर भी रावण की अक्ल पर पत्थर ही पड़ गया था कि उसने           राम की पत्नी का अपहरण किया।
1,अंक भरना,स्नेह से लिपटा लेना,- माँ ने देखते ही बेटी को अंक भर लिया।
2,अंग टूटना,थकान का दर्द,- इतना काम करना पड़ा कि आज अंग टूट रहे है।
3,अपने मुँह मियाँ मिट्ठू बनना,स्वयं अपनी प्रशंसा करना,- अच्छे आदमियों को अपने मुहँ मियाँ मिट्ठू बनना शोभा नहीं देता।
4,अक्ल का चरने जाना,समझ का अभाव होना,"- इतना भी समझ नहीं सके ,क्या अक्ल चरने गए है ?"
5,अपने पैरों पर खड़ा होना,स्वालंबी होना,- युवकों को अपने पैरों पर खड़े होने पर ही विवाह करना चाहिए।
6,अक्ल का दुश्मन,मूर्ख,"- राम तुम मेरी बात क्यों नहीं मानते, लगता है आजकल तुम अक्ल के दुश्मन हो गए हो।"
7,अपना उल्लू सीधा करना,मतलब निकालना,- आजकल के नेता  अपना उल्लू सीधा करने के लिए ही लोगों         को भड़काते है।
8,अंगारों पर लेटना,"डाह होना, दुःख सहना",  वह उसकी तरक्की देखते ही अंगारों पर लोटने लगा। मैं जीवन भर अंगारों पर लोटता रहा हूँ।
9,अँगूठा दिखाना,समय पर धोखा देना,"- अपना काम तो निकाल लिया, पर जब मुझे जरूरत पड़ी, तब अँगूठा दिखा दिया। भला, यह भी कोई मित्र का लक्षण है।"
10,अँचरा पसारना,"माँगना, याचना करना","- हे देवी मैया, अपने बीमार बेटे के लिए आपके आगे अँचरा पसारती हूँ। उसे भला-चंगा कर दो, माँ।"
11,अण्टी मारना,चाल चलना,- ऐसी अण्टीमारो कि बच्चू चारों खाने चित गिरें।
12,अण्ड-बण्ड कहना,भला-बुरा या अण्ट- सण्ट कहना,"- क्या अण्ड-बण्ड कहे जा रहे हो। वह सुन लेगा, तो कचूमर ही निकाल छोड़ेगा।"
13,अन्धाधुन्ध लुटाना,बिना विचारे व्यय,- अपनी कमाई भी कोई अन्धाधुन्ध लुटाता है ?
14,अन्धा बनना,आगे-पीछे कुछ न देखना,"- धर्म से प्रेम करो, पर उसके पीछे अन्धा बनने से तो दुनिया नहीं चलती।"
15,अन्धा बनाना,धोखा देना,- मायामृग ने रामजी तक को अन्धा बनाया था। इस माया के पीछे मौजीलाल अन्धे बने तो क्या।
16,अन्धा होना,विवेकभ्रष्ट होना,"- अन्धे हो गये हो क्या, जवान बेटे के सामने यह क्या जो-सो बके जा रहे हो ?"
17,अन्धे की लकड़ी,एक ही सहारा,"- भाई, अब तो यही एक बेटा बचा, जो मुझे अन्धे की लकड़ी है। इसे परदेश न जाने दूँगा।"
18,अन्धेरखाता,अन्याय,"- मुँहमाँगा दो, फिर भी चीज खराब। यह कैसा अन्धेरखाता है।"
19,अन्धेर नगरी,जहाँ धांधली का बोलबाला हो,"- इकत्री का सिक्का था, तो चाय इकत्री में मिलती थी, दस पैसे का निकला, तो दस पैसे में मिलने लगी। यह बाजार नहीं, अन्धेरनगरी ही है।"
20,अकेला दम,अकेला,"- मेरा क्या ! अकेला दम हूँ; जिधर सींग समायेगा, चल दूँगा।"
21,अक्ल की दुम,अपने को बड़ा होशियार लगानेवाला,"- दस तक का पहाड़ा भी तो आता नहीं, मगर अक्ल की दुम साइन्स का पण्डित बनता है।"
22,अगले जमाने का आदमी,"सीधा-सादा, ईमानदार",- आज की दुनिया ऐसी हो गई कि अगले जमाने का आदमी बुद्धू समझा जाता है।
23,अढाई दिन की हुकूमत,कुछ दिनों की शानोशौकत,"- जनाब, जरा होशियारी से काम लें। यह अढाई दिन की हुकूमत जाती रहेगी।"
24,अत्र-जल उठना,"रहने का संयोग न होना, मरना","- मालूम होता है कि तुम्हारा यहाँ से अत्र-जल उठ गया है, जो सबसे बिगाड़ किये रहते हो।"
